CMDLINE C:\Users\avark\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 2.039062 1774894503.3744
MEM 12.152344 1774894503.4920
CHLD 5556 13.429688 1774894503.4928
MEM 12.152344 1774894503.5995
CHLD 5556 16.632812 1774894503.6055
CHLD 16452 14.835938 1774894503.6055
MEM 12.152344 1774894503.7069
CHLD 5556 16.632812 1774894503.7077
CHLD 16452 16.324219 1774894503.7077
MEM 12.152344 1774894503.8147
CHLD 5556 16.632812 1774894503.8210
CHLD 16452 16.324219 1774894503.8210
MEM 12.152344 1774894503.9223
CHLD 5556 16.632812 1774894503.9258
CHLD 16452 16.324219 1774894503.9258
MEM 12.152344 1774894504.0306
CHLD 5556 16.632812 1774894504.0341
CHLD 16452 16.324219 1774894504.0341
MEM 12.152344 1774894504.1384
CHLD 5556 16.632812 1774894504.1384
CHLD 16452 16.328125 1774894504.1384
MEM 12.152344 1774894504.2456
CHLD 5556 16.632812 1774894504.2496
CHLD 16452 16.328125 1774894504.2496
MEM 12.152344 1774894504.3543
CHLD 5556 16.632812 1774894504.3614
CHLD 16452 16.328125 1774894504.3614
MEM 12.152344 1774894504.4628
CHLD 5556 16.632812 1774894504.4687
CHLD 16452 16.332031 1774894504.4687
MEM 12.152344 1774894504.5708
CHLD 5556 16.632812 1774894504.5794
CHLD 16452 16.332031 1774894504.5794
MEM 12.152344 1774894504.6819
CHLD 5556 16.632812 1774894504.6837
CHLD 16452 16.332031 1774894504.6837
MEM 12.152344 1774894504.7897
CHLD 5556 16.632812 1774894504.7897
CHLD 16452 16.332031 1774894504.7897
MEM 12.152344 1774894504.8976
CHLD 5556 16.632812 1774894504.9038
CHLD 16452 16.332031 1774894504.9038
MEM 12.152344 1774894505.0051
CHLD 5556 16.632812 1774894505.0062
CHLD 16452 16.332031 1774894505.0062
MEM 12.152344 1774894505.1124
CHLD 5556 16.632812 1774894505.1173
CHLD 16452 16.335938 1774894505.1173
MEM 12.152344 1774894505.2198
CHLD 5556 16.632812 1774894505.2252
CHLD 16452 16.335938 1774894505.2252
MEM 12.152344 1774894505.3269
CHLD 5556 16.632812 1774894505.3325
CHLD 16452 16.335938 1774894505.3325
MEM 12.152344 1774894505.4345
CHLD 5556 16.632812 1774894505.4365
CHLD 16452 16.335938 1774894505.4365
MEM 12.152344 1774894505.5419
CHLD 5556 16.632812 1774894505.5479
CHLD 16452 16.335938 1774894505.5479
MEM 12.152344 1774894505.6490
CHLD 5556 16.632812 1774894505.6590
CHLD 16452 16.335938 1774894505.6590
MEM 12.152344 1774894505.7593
CHLD 5556 16.632812 1774894505.7633
CHLD 16452 16.335938 1774894505.7633
MEM 12.152344 1774894505.8671
CHLD 5556 16.632812 1774894505.8744
CHLD 16452 16.335938 1774894505.8744
MEM 12.152344 1774894505.9747
CHLD 5556 16.632812 1774894505.9806
CHLD 16452 16.335938 1774894505.9806
MEM 12.152344 1774894506.0827
CHLD 5556 16.632812 1774894506.0827
CHLD 16452 16.335938 1774894506.0827
MEM 12.152344 1774894506.1905
CHLD 5556 16.632812 1774894506.1977
CHLD 16452 16.335938 1774894506.1977
MEM 12.152344 1774894506.2992
CHLD 5556 16.632812 1774894506.2992
CHLD 16452 16.335938 1774894506.2992
MEM 12.152344 1774894506.4067
CHLD 5556 16.632812 1774894506.4128
CHLD 16452 16.335938 1774894506.4128
MEM 12.152344 1774894506.5140
CHLD 5556 16.632812 1774894506.5218
CHLD 16452 16.335938 1774894506.5218
MEM 12.152344 1774894506.6232
CHLD 5556 16.632812 1774894506.6232
CHLD 16452 16.335938 1774894506.6232
MEM 12.152344 1774894506.7303
CHLD 5556 16.632812 1774894506.7352
CHLD 16452 16.335938 1774894506.7352
MEM 12.152344 1774894506.8377
CHLD 5556 16.632812 1774894506.8392
CHLD 16452 16.335938 1774894506.8392
MEM 12.152344 1774894506.9453
CHLD 5556 16.632812 1774894506.9493
CHLD 16452 16.335938 1774894506.9493
MEM 12.152344 1774894507.0524
CHLD 5556 16.632812 1774894507.0585
CHLD 16452 16.335938 1774894507.0585
MEM 12.152344 1774894507.1601
CHLD 5556 16.632812 1774894507.1661
CHLD 16452 16.335938 1774894507.1661
MEM 12.152344 1774894507.2676
CHLD 5556 16.632812 1774894507.2696
CHLD 16452 16.335938 1774894507.2696
MEM 12.152344 1774894507.3753
CHLD 5556 16.632812 1774894507.3832
CHLD 16452 16.335938 1774894507.3832
MEM 12.152344 1774894507.4846
CHLD 5556 16.632812 1774894507.4849
CHLD 16452 16.335938 1774894507.4849
MEM 12.152344 1774894507.5922
CHLD 5556 16.632812 1774894507.5981
CHLD 16452 16.335938 1774894507.5981
MEM 12.152344 1774894507.6997
CHLD 5556 16.632812 1774894507.6997
CHLD 16452 16.335938 1774894507.6997
MEM 12.152344 1774894507.8082
CHLD 5556 16.632812 1774894507.8133
CHLD 16452 16.335938 1774894507.8133
MEM 12.152344 1774894507.9153
CHLD 5556 16.632812 1774894507.9225
CHLD 16452 16.335938 1774894507.9225
MEM 12.152344 1774894508.0238
CHLD 5556 16.632812 1774894508.0284
CHLD 16452 16.335938 1774894508.0284
MEM 12.152344 1774894508.1312
CHLD 5556 16.632812 1774894508.1327
CHLD 16452 16.335938 1774894508.1327
MEM 12.152344 1774894508.2390
CHLD 5556 16.632812 1774894508.2419
CHLD 16452 16.335938 1774894508.2419
MEM 12.152344 1774894508.3465
CHLD 5556 16.632812 1774894508.3530
CHLD 16452 16.335938 1774894508.3530
MEM 12.152344 1774894508.4548
CHLD 5556 16.632812 1774894508.4588
CHLD 16452 16.335938 1774894508.4588
MEM 12.152344 1774894508.5625
CHLD 5556 16.632812 1774894508.5685
CHLD 16452 16.335938 1774894508.5685
MEM 12.152344 1774894508.6695
CHLD 5556 16.632812 1774894508.6762
CHLD 16452 16.335938 1774894508.6762
MEM 12.152344 1774894508.7780
CHLD 5556 16.632812 1774894508.7833
CHLD 16452 16.335938 1774894508.7833
MEM 12.152344 1774894508.8850
CHLD 5556 16.632812 1774894508.8875
CHLD 16452 16.335938 1774894508.8875
MEM 12.152344 1774894508.9925
CHLD 5556 16.632812 1774894508.9985
CHLD 16452 16.335938 1774894508.9985
MEM 12.152344 1774894509.0999
